Organization Name,Organization Name URL,Growth Category,Postal Code,Full Description,Actively Hiring,Industries,Headquarters Location,Description,CB Rank (Company),Founded Date,Founded Date Precision,Number of Investments,Founders,IPO Status,CB Rank (Organization),CB Rank (School),Last Funding Date,Number of Funding Rounds,Funding Status,Last Funding Amount,Last Funding Amount Currency,Last Funding Amount (in USD),Last Funding Type,Total Funding Amount,Total Funding Amount Currency,Total Funding Amount (in USD),Last Equity Funding Amount,Last Equity Funding Amount Currency,Last Equity Funding Amount (in USD),Last Equity Funding Type,Total Equity Funding Amount,Total Equity Funding Amount Currency,Total Equity Funding Amount (in USD),Top 5 Investors,Number of Investors,Industry Groups,Investment Stage,Headquarters Regions,Website,LinkedIn,Contact Email,Number of Employees
Tessl,https://www.crunchbase.com/organization/tessl,,N1 9UZ,"Tessl transforms software development for the AI era with its innovative AI-native development approach. Its AI-powered development platform provides secure, high-quality, and self-maintaining code tailored to the user's requirements.",,"Artificial Intelligence (AI), Software, Software Engineering","London, England, United Kingdom",Tessl transforms software development for the AI era with its innovative AI native development approach.,311,2024-01-01,year,,Guy Podjarny,Private,318,,2024-11-14,2,Early Stage Venture,100000000,USD,100000000,Series A,125000000,USD,125000000,100000000,USD,100000000,Series A,125000000,USD,125000000,"Accel, Google Ventures, Index Ventures, boldstart ventures",4,"Artificial Intelligence (AI), Data and Analytics, Science and Engineering, Software",,"Europe, Middle East, and Africa (EMEA)",https://www.tessl.io,https://www.linkedin.com/company/tesslio/,,11-50
Flower,https://www.crunchbase.com/organization/krafthem,,113 56,"Flower operates a Power Refinery - a hardware agnostic platform that connects flexibility assets with buyers of flexibility. We integrate with flexibility assets, collect metering values and can actively manage their power profiles, we prognose available flexibility and decide in which markets and at what price flexibility will be offered. We run projects within light and heavy EV charging, energy storage, hydropower, solar power and heating. We aim to offer ancillary services and participate in capacity markets. Flower's mission is to drastically increase available flexibility to support the renewable electrification of everything.",,"Artificial Intelligence (AI), Energy, Energy Efficiency, Energy Management, Hydroelectric, Power Grid","Stockholm, Stockholms Lan, Sweden",Developing knowledge and AI to efficiently deploy electricity flexibility,433,2020-05-28,day,,John Diklev,Private,451,,2024-10-31,5,Early Stage Venture,20000000,EUR,21712745,Series A,58168147,USD,58168147,20000000,EUR,21712745,Series A,58168147,USD,58168147,"Giant Ventures, Northzone, Ellevio, Sony Innovation Fund, Sebastian Knutsson",11,"Artificial Intelligence (AI), Data and Analytics, Energy, Science and Engineering, Software, Sustainability",,"European Union (EU), Nordic Countries, Scandinavia",https://www.flower.se,https://www.linkedin.com/company/krafthem,john@krafthem.se,11-50
bitsCrunch,https://www.crunchbase.com/organization/bitscrunch,Growing,80993,"AI-enhanced decentralized data networks delivering unmatched analytics and forensics for NFTs, wallets, and other digital assets on the public blockchain.",,"Analytics, Artificial Intelligence (AI), Blockchain, Machine Learning","Munich, Bayern, Germany",bitsCrunch is an AI enhanced decentralised Blockchain analytics and forensics company that aims to secure the blockchain space.,437,2021-02-01,day,1,"Gopi Kannappan, Saravanan Jaichandaran, Vijay Pravin Maharajan",Private,452,,2024-01-23,5,Early Stage Venture,2400000,USD,2400000,Series A,10600000,USD,10600000,2400000,USD,2400000,Series A,10600000,USD,10600000,"Chainlink, Gate.io, CoinList, Animoca Brands, Borderless Capital",33,"Artificial Intelligence (AI), Blockchain and Cryptocurrency, Data and Analytics, Other, Science and Engineering, Software",,"European Union (EU), Europe, Middle East, and Africa (EMEA)",https://bitscrunch.com,https://www.linkedin.com/company/bitscrunch,info@bitscrunch.com,51-100
Vega,https://www.crunchbase.com/organization/vega-1453,,W1H 6BS,Vega is to change wealth management through the application of cutting-edge technology. We aim to bring together the private and institutional sectors with a platform that streamlines wealth creation for high-net-worth individuals and their advisors by using our team's financial and technical knowledge.,,Financial Services,"London, England, United Kingdom",Vega is to reshape wealth management by pioneering the use of advanced technology.,444,2022-01-01,year,,,Private,459,,2024-11-12,2,Early Stage Venture,20000000,USD,20000000,Series A,28016412,USD,28016412,20000000,USD,20000000,Series A,28016412,USD,28016412,"Apollo, Citi Ventures, Motive Ventures, Picus Capital, Philippe Teixeira da Mota",6,Financial Services,,"Europe, Middle East, and Africa (EMEA)",https://www.vega-alts.com/,https://www.linkedin.com/company/vegainvestments/,,11-50
Quanscient,https://www.crunchbase.com/organization/quanscient,,,"Quanscient develops multiphysics simulation software utilizing quantum computing algorithms to improve simulation technology. Its Computer Aided Engineering (CAE) platform integrates a unique combination of cloud-native multiphysics solvers, advanced cloud computing, and future quantum integration. The platform also  offers engineers over a hundredfold increase in simulation throughput to enable fully digital R&D processes, addressing complex technology challenges in industries like fusion energy, 6G/7G, advanced semiconductors, biomedical, automotive, and aerospace.",,"Information Technology, Quantum Computing, SaaS, Simulation","Tampere, Western Finland, Finland",Quanscient develops a multiphysics simulation software utilizing quantum computing algorithms to improve simulation technology.,446,2021-09-17,day,,"Asser Lähdemäki, Dr. Alexandre Halbach, Dr. Valtteri Lahtinen, Juha Riippi",Private,461,,2024-11-05,4,Early Stage Venture,5200000,EUR,5664673,Series A,9546000,EUR,10431252,5200000,EUR,5664673,Series A,9100000,EUR,9942091,"Business Finland, Maki.vc, First Fellow Partners, Crowberry Capital, Speen Holding",7,"Information Technology, Science and Engineering, Software",,"European Union (EU), Nordic Countries, Scandinavia",https://quanscient.com,https://www.linkedin.com/company/quanscient,info@quanscient.com,11-50
n8n,https://www.crunchbase.com/organization/n8n-io,Growing,,"n8n is a free and open node-based Workflow Automation Tool. It can be self-hosted, easily extended, and used with third party web applications or custom in-house tools to automate repetitive tasks. With n8n, for the first time, people can move beyond simple integrations to build multi-step workflows that combine both 3rd party APIs and your own internal tools to create easy to use automations that snap together all the pieces of what would otherwise be very complex, disconnected systems. n8n is headquartered in Berlin and was founded by Jan Oberhauser in 2019.",,SaaS,"Berlin, Berlin, Germany",Your low-code automation tool for connecting anything to everything.,474,2019-11-01,month,,Jan Oberhauser,Private,490,,2024-02-19,4,Early Stage Venture,5000000,USD,5000000,Series A,20000000,USD,20000000,5000000,USD,5000000,Series A,18500000,USD,18500000,"Automattic, Sequoia Capital, Felicis, Runa Capital, Harpoon",13,Software,,"European Union (EU), Europe, Middle East, and Africa (EMEA)",https://n8n.io/,https://www.linkedin.com/company/n8n,hello@n8n.io,51-100
Faircraft,https://www.crunchbase.com/organization/faircraft,,,Faircraft is leveraging advanced synthetic biology and material science techniques to develop a lab-grown alternative to animal leather.,,"Advanced Materials, Biotechnology, Fashion, GreenTech","Paris, Ile-de-France, France",Faircraft is leveraging advanced synthetic biology and material science techniques to develop a lab-grown alternative to animal leather.,477,2021-01-01,year,,"Cesar Valencia-Gallardo, Haïkel Balti",Private,493,,2024-11-21,3,Early Stage Venture,15000000,EUR,15827493,Series A,18327493,USD,18327493,15000000,EUR,15827493,Series A,18327493,USD,18327493,"Entrepreneur First, Bpifrance, Joyance Partners, Kindred Ventures, AFI Ventures",12,"Biotechnology, Clothing and Apparel, Design, Manufacturing, Science and Engineering, Sustainability",,"European Union (EU), Europe, Middle East, and Africa (EMEA)",https://www.faircraft.bio,https://www.linkedin.com/company/faircraft/,contact@faircraft.bio,11-50
Cogna,https://www.crunchbase.com/organization/cogna,,EC2V 6EE,"Cogna provides precision software tailored to specific industry needs through an AI-powered platform. The company focuses on identifying operational pain points and delivering custom solutions within two weeks, significantly reducing development time and costs. Cogna supports various sectors, including utilities and manufacturing, by streamlining processes and enhancing productivity.",,"Artificial Intelligence (AI), Information Technology, SaaS","London, England, United Kingdom",Cogna offers an AI-powered SaaS platform that streamlines the integration of data across several business domains.,478,2023-01-01,year,,,Private,496,,2024-11-11,2,Early Stage Venture,12500000,GBP,16089815,Series A,16260000,GBP,20907635,12500000,GBP,16089815,Series A,16260000,GBP,20907635,"Octopus Ventures, Notion Capital, Chalfen Ventures, Hoxton Ventures, Tim Shi",12,"Artificial Intelligence (AI), Data and Analytics, Information Technology, Science and Engineering, Software",,"Europe, Middle East, and Africa (EMEA)",https://www.cogna.co,https://www.linkedin.com/company/wearecogna,,11-50
Yazen,https://www.crunchbase.com/organization/yazen,Growing,222 20,"Yazen is a digital healthcare provider that offers tailored weight loss programs, combining medical treatments with lifestyle coaching. The platform connects users with a team of experts, including doctors, dietitians, and personal trainers, to create individualized weight management plans.",,"Health Care, Health Diagnostics, Software","Lund, Skane Lan, Sweden",Yazen provides digital weight loss solutions through personalized coaching and support.,534,2021-05-15,day,,"Fredrik Meurling, Magnus Nyhlén, Martin Carlsson",Private,551,,2024-11-04,4,Early Stage Venture,19500000,EUR,21255352,Series A,25633828,USD,25633828,19500000,EUR,21255352,Series A,25633828,USD,25633828,"Luminar Ventures, Almaz Capital, Yabeo, Evli Growth Partners, Aggregate Media",9,"Health Care, Software",,"European Union (EU), Nordic Countries, Scandinavia",https://yazen.se,https://www.linkedin.com/company/yazen-health,,101-250
Newcleo,https://www.crunchbase.com/organization/newcleo,Growing,,"Newcleo is a clean energy company focused on revolutionizing nuclear power through innovative technologies. Newcleo is developing small modular reactors (SMRs) based on Lead-Cooled Fast Reactor (LFR) technology, which offers a more stable cooling mechanism and higher safety margins compared to traditional reactors. LFRs use lead as a coolant instead of water, eliminating the risk of steam explosions and enhancing reactor safety. In addition to this advanced cooling system, Newcleo employs a closed fuel cycle approach that emphasizes recycling nuclear waste as fuel for their reactors. This strategy not only reduces the need for new uranium mining but also helps address the challenge of long-term radioactive waste disposal by repurposing existing waste. Newcleo aims to create safe and clean energy solutions by reprocessing nuclear fuel, offering a renewable alternative in the energy sector.",,"Clean Energy, Energy, Energy Management, Nuclear","Paris, Ile-de-France, France",Newcleo is an atomic energy company that focuses on developing advanced nuclear energy technologies.,540,2021-01-01,year,,"Elisabeth Rizzotti, Enrico Cesenni, Cav. OSI, Lorenzo Maternini, Luciano Cinotti, Stefano Buono",Private,557,,2024-09-30,4,Early Stage Venture,135000000,EUR,150669475,Series A,677457262,USD,677457262,135000000,EUR,150669475,Series A,677457262,USD,677457262,"LIFTT, Exor Ventures, Club degli Investitori, Ingerop, Walter Tosto",7,"Energy, Science and Engineering, Sustainability",,"European Union (EU), Europe, Middle East, and Africa (EMEA)",https://www.newcleo.com,https://www.linkedin.com/company/newcleo,info@newcleo.com,501-1000
Diffblue,https://www.crunchbase.com/organization/diffblue,Growing,OX1 2JW,"Diffblue is a developer of automated testing software that enhances Java development by automatically generating unit tests.  The company is a spin-out of the AI research group at Oxford, its automated code-writing capability has far-reaching potential and will eventually transform how software is written. Initially, Diffblue’s technology was deployed to save developers time and ensure robustness in one of software development's most tedious and time-consuming areas: writing unit tests. Diffblue's product stands out from code suggestion tools in that it works completely autonomously, using reinforcement learning to write fully formed tests that are guaranteed to compile, run, and find bugs.",,"Artificial Intelligence (AI), Developer Tools, Generative AI, Software","Oxford, Oxfordshire, United Kingdom",Diffblue is a developer of automated testing software that enhances Java development by automatically generating unit tests.,579,2016-01-01,month,,"Daniel Kroening, Peter Schrammel",Private,601,,2024-10-30,5,Early Stage Venture,6300000,USD,6300000,Series A,42127130,USD,42127130,6300000,USD,6300000,Series A,42127130,USD,42127130,"Citi Institutional Strategic Investments, AlbionVC, IP Group, Oxford Science Enterprises, Parkwalk Advisors",10,"Artificial Intelligence (AI), Data and Analytics, Science and Engineering, Software",,"Europe, Middle East, and Africa (EMEA)",https://www.diffblue.com,https://www.linkedin.com/company/diffblue,,101-250
Omnea,https://www.crunchbase.com/organization/omnea-2c90,,SW1W 9SH,"Omnea automates processes from vendor setup to order creation, allowing businesses to operate more efficiently. The platform encompasses the entire purchasing process, enabling employees to submit requests easily and automating purchase approval workflows. Omnea is a prominent FinTech advisor in Africa, providing essential payment services for individuals and businesses.",,"Artificial Intelligence (AI), B2B, Procurement, Software, Transaction Processing","London, England, United Kingdom",Omnea is an AI-powered procurement and supplier management platform that automates processes from vendor setup to order creation.,603,2022-01-01,month,,"Ben Allen, Ben Freeman",Private,625,,2024-10-14,2,Early Stage Venture,20000000,USD,20000000,Series A,25000000,USD,25000000,20000000,USD,20000000,Series A,25000000,USD,25000000,"Entrepreneur First, Accel, Charlie Songhurst, Claire Hughes Johnson, First Round Capital",19,"Artificial Intelligence (AI), Data and Analytics, Financial Services, Other, Payments, Science and Engineering, Software, Transportation",,"Europe, Middle East, and Africa (EMEA)",https://www.omnea.co,https://www.linkedin.com/company/omnea,,101-250
Naturbeads,https://www.crunchbase.com/organization/naturbeads,Growing,BA2 7AY,"Naturbeads, a company working to manufacture a replacement to the ocean-polluting microbeads that are found in many personal and home care products and paints. Naturbeads proposes a biodegradable alternative to plastic microbeads that could mitigate micro plastic pollution in the oceans and soil. The technology to create the cellulose microbeads was developed at the University of Bath by Professors Janet Scott and Davide Mattia from the Centre for Sustainable Chemical Technologies in 2017",,"Advanced Materials, Biotechnology, CleanTech, Manufacturing","Bath, Bath and North East Somerset, United Kingdom",Naturbeads is scaling up the technology to manufacture cellulose beads and replace plastic microbeads intentionally added to many products,702,2018-05-01,day,,Giovanna Laudisio,Private,723,,2024-11-14,7,Early Stage Venture,7800000,GBP,9899620,Series A,12767909,USD,12767909,7800000,GBP,9899620,Series A,11623959,USD,11623959,"Innovate UK, CDP Venture Capital, Eos, MassChallenge, MITO Technology",11,"Biotechnology, Manufacturing, Science and Engineering, Sustainability",,"Europe, Middle East, and Africa (EMEA)",http://www.naturbeads.com/,https://www.linkedin.com/company/naturbeads,contact@naturbeads.com,1-10
Northflank,https://www.crunchbase.com/organization/northflank,,N1 7GU,"Northflank provides a self-service platform for developers to build, run, and scale applications seamlessly. It supports various workloads and integrates with cloud providers, enabling efficient deployment and management of applications.",,"Cloud Management, Software, Web Development","London, England, United Kingdom",Northflank is a developer platform that automates deployments across cloud infrastructures.,752,2019-01-01,year,,"Frederik Brix, Will Stewart",Private,779,,2024-11-11,5,Early Stage Venture,16000000,USD,16000000,Series A,27500000,USD,27500000,16000000,USD,16000000,Series A,27500000,USD,27500000,"Pareto Holdings, Edward Lando, Bain Capital Ventures, Stride.VC, Four Cities Capital",15,"Information Technology, Internet Services, Software",,"Europe, Middle East, and Africa (EMEA)",https://northflank.com,https://www.linkedin.com/company/northflank,contact@northflank.com,11-50
44.01,https://www.crunchbase.com/organization/44-01,,EC4,"4.01 is a company that specializes in eliminating CO2 from the atmosphere by mineralizing it in peridotite, a type of rock that naturally absorbs CO2. We eliminate CO2 by turning it into rock, and removing it from the atmosphere safely, efficiently, and permanently.",,Environmental Engineering,"London, England, United Kingdom",4.01 is a company that specializes in eliminating CO2 from the atmosphere by mineralizing it in peridotite.,855,2020-07-01,day,,"Ehab Tasfai, Karan Khimji, Talal Hasan",Private,880,,2024-07-15,4,Early Stage Venture,37000000,USD,37000000,Series A,43229424,USD,43229424,37000000,USD,37000000,Series A,42000000,USD,42000000,"Alumni Ventures, Future Planet Capital, Shorooq Partners, Climate Investment, Salica",18,"Science and Engineering, Sustainability",,"Europe, Middle East, and Africa (EMEA)",https://www.4401.earth,https://www.linkedin.com/company/44-01,info@4401.earth,11-50
